Model_Config,Baseline,BS=4,BS=8,BS=16,BS=32,BS=64,BS=128,BS=256,BS=512
Granite_mxfp4 (e2m1) + Tilted (2s),,,,,0.4917229080200194,,,,
Granite_mxfp4 (e2m1) + Tilted (3s),,,,,0.5258072280883788,,,,
Granite_mxfp4 (e2m1) + Tilted (5s),,,,,0.5908411407470702,,,,
Granite_mxfp4 (e2m1) + Rot (2s),,,,,0.4043491744995116,,,,
Granite_mxfp4 (e2m1) + Rot (3s),,,,,0.4379151725769041,,,,
Granite_mxfp4 (e2m1) + Rot (5s),,,,,0.4689210319519041,,,,
Granite_mxfp4 (e1m2) + Tilted (2s),,,,,0.6787579917907713,,,,
Granite_mxfp4 (e1m2) + Tilted (3s),,,,,1.41991886138916,,,,
Granite_mxfp4 (e1m2) + Tilted (5s),,,,,0.7219274902343749,,,,
Granite_mxfp4 (e1m2) + Rot (2s),,,,,0.7113130950927733,,,,
Granite_mxfp4 (e1m2) + Rot (3s),,,,,0.6956199073791502,,,,
Granite_mxfp4 (e1m2) + Rot (5s),,,,,0.717918243408203,,,,
Granite_mxfp4 (e1m2) + KS (320p),,,,,0.7656138801574706,,,,
Granite_mxfp4 (e1m2) + Rot (80p),,,,,0.6559503936767577,,,,
"Granite_wgt e1m2, act e2m1",,,,,0.7912243270874022,,,,
"Granite_wgt e1m2, act e2m1 + random hadamard",,,,,0.5315354728698729,,,,
"Granite_wgt e1m2, act e2m1 + hierarchical scales",,,,,0.7789386177062987,,,,
"Granite_wgt e1m2, act e2m1 + hierarchical scales + random hadamard",,,,,0.5479830169677733,,,,
"Granite_wgt e2m1, act e1m2",,,,,0.8173120880126952,,,,
"Granite_wgt e2m1, act e1m2 + random hadamard",,,,,0.4476722145080565,,,,
"Granite_wgt e2m1, act e1m2 + hierarchical scales",,,,,0.8638113403320311,,,,
"Granite_wgt e2m1, act e1m2 + hierarchical scales + random hadamard",,,,,0.4215639495849608,,,,
Qwen_mxfp4 (e1m2) + H,,,,,0.607129764556884,,,,
Llama_mxfp4 (e1m2) + H,,,,,1.8131550979614257,,,,
Llama_mxfp4 (e1m2) + 4o6,,,,,1.1737407875061034,,,,
Llama_e4m3 + PZ + RH16,,,,0.8172225189208984,,,,,
Llama_mxfp4 (e2m1) + RH16,,,,,1.007493896484375,,,,
Llama_mxfp4 (e2m1) + RH32,,,,,0.9971851539611816,,,,
Llama_mxfp4 (e2m1) + RH64,,,,,1.0081047248840331,,,,
Llama_mxfp4 (e2m1) + RH128,,,,,0.9660152626037596,,,,
Llama_mxfp4 (e1m2) + RH16,,,,,1.6767758560180663,,,,
Llama_mxfp4 (e1m2) + RH32,,,,,1.6511229705810546,,,,
Llama_mxfp4 (e1m2) + RH64,,,,,1.6169599723815915,,,,
Llama_mxfp4 (e1m2) + RH128,,,,,1.6864146423339843,,,,
Llama_mxfp4 (e2m1) + c90,,,,,439639.1075,,,,
Llama_mxfp4 (e2m1) + c95,,,,,243913.623125,,,,
Llama_mxfp4 (e2m1) + c99,,,,,34426.14265625,,,,
Llama_mxfp4 (e1m2) + c90,,,,,427841.6075,,,,
Llama_mxfp4 (e1m2) + c95,,,,,186848.498125,,,,
Llama_mxfp4 (e1m2) + c99,,,,,26889.746171875,,,,
Llama_mxfp4 (e2m1) + Ceil,,,,,0.9357403945922852,,,,
Llama_mxfp4 (e2m1) + Floor,,,,,738.4214038085937,,,,
Llama_mxfp4 (e1m2) + Ceil,,,,,1.8104762268066408,,,,
Llama_mxfp4 (e1m2) + Floor,,,,,399.13728515625,,,,
Llama_mxfp4 (e2m1) + Hier+FoC+Ceil+RH32,,,,,0.946123523712158,,,,
Llama_mxfp4 (e1m2) + Hier+FoC+Ceil+RH32,,,,,1.5180277061462402,,,,
DeepSeek_int8 + PZ,12.39,,,,,,,,-0.0858847045898443
DeepSeek_int8 + PZ + RH256,12.39,,,,,,,,-0.1015402221679693
DeepSeek_int4 + PZ,12.39,,,,,,,,4.4745725250244135
DeepSeek_int4 + PZ + RH256,12.39,,,,,,,,1.6354020690917963
DeepSeek_e4m3 + PZ,12.39,,,0.5464957809448237,,,,,
DeepSeek_mxfp4 (e2m1),12.39,,,,1.3479026412963862,,,,
DeepSeek_mxfp4 (e1m2),12.39,,,,2.00452838897705,,,,
DeepSeek_e4m3 + PZ + H,,,,0.5415395355224604,,,,,
DeepSeek_mxfp4 (e2m1) + H,,,,,1.258727416992187,,,,
DeepSeek_e4m3 + 4o6 + PZ,,,,0.4388135528564447,,,,,
